year;port_name;nuclear_available_from_year;maturity_factor;allocation_share;allocated_new_ship_loadings;allocated_refuellings;allocated_total_service_events;allocated_initial_fuel_loading_tons;allocated_refueling_tons;allocated_fuel_throughput_tons;allocated_initial_fuel_loading_pebbles;allocated_refueling_pebbles;allocated_fuel_throughput_pebbles;allocated_fresh_fuel_storage_m3;allocated_spent_fuel_storage_m3;allocated_waste_m3;allocated_truckloads
2037;Rotterdam;2037;0.5;1.0;1.0;0.0;1.0;0.9114583333333335;0.0;0.18229166666666669;113932.29166666669;0.0;22786.458333333336;322.13596545598466;0.0;64.42719309119693;0.0
2038;Rotterdam;2037;0.75;0.42391304347826086;1.2717391304347827;0.0;1.2717391304347827;3.9410665760869574;0.0;0.8654891304347827;492633.32201086957;0.0;108186.14130434782;1392.8879028085944;0.0;305.88910806776977;0.0
2038;Singapore;2038;0.5;0.2934782608695652;0.8804347826086956;0.0;0.8804347826086956;2.7284307065217392;0.0;0.5991847826086957;341053.83831521735;0.0;74898.09782608695;964.3070096367192;0.0;211.76938250845598;0.0
2038;Hamburg;2038;0.5;0.2826086956521739;0.8478260869565217;0.0;0.8478260869565217;2.6273777173913047;0.0;0.5769927536231885;328422.214673913;0.0;72124.09420289854;928.5919352057296;0.0;203.92607204517984;0.0
2039;Rotterdam;2037;1.0;0.3954372623574144;0.7908745247148288;0.0;0.7908745247148288;1.297528517110266;0.0;1.0668567807351077;162191.06463878328;0.0;133357.09759188845;458.5844314323976;0.0;377.0583102888604;0.0
2039;Singapore;2038;0.75;0.30798479087452474;0.6159695817490495;0.0;0.6159695817490495;1.0105750950570342;0.0;0.8309173003802283;126321.88688212933;0.0;103864.66254752854;357.1667206348482;0.0;293.67041474420864;0.0
2039;Hamburg;2038;0.75;0.2965779467680608;0.5931558935361216;0.0;0.5931558935361216;0.9731463878326996;0.0;0.8001425855513309;121643.29847908748;0.0;100017.82319391635;343.93832357429824;0.0;282.79373271664537;0.0
2040;Rotterdam;2037;1.0;0.2765957446808511;1.3829787234042554;0.0;1.3829787234042554;4.134530141843971;0.0;1.5731382978723405;516816.2677304964;0.0;196642.28723404257;1461.2635709620401;0.0;555.9929684636056;0.0
2040;Singapore;2038;1.0;0.2872340425531915;1.4361702127659575;0.0;1.4361702127659575;4.293550531914893;0.0;1.6336436170212767;536693.8164893617;0.0;204205.4521276596;1517.4660159990417;0.0;577.3773134045135;0.0
2040;Hamburg;2038;1.0;0.2765957446808511;1.3829787234042554;0.0;1.3829787234042554;4.134530141843971;0.0;1.5731382978723405;516816.2677304964;0.0;196642.28723404257;1461.2635709620401;0.0;555.9929684636056;0.0
2040;Shanghai;2040;0.5;0.15957446808510636;0.7978723404255318;0.0;0.7978723404255318;2.385305851063829;0.0;0.9075797872340424;298163.2313829786;0.0;113447.4734042553;843.036675555023;0.0;320.76517411361857;0.0
2041;Rotterdam;2037;1.0;0.2374429223744292;2.374429223744292;0.0;2.374429223744292;5.929889649923895;0.0;2.536434550989345;741236.2062404868;0.0;317054.31887366815;2095.795998089895;0.0;896.4499670661884;0.0
2041;Singapore;2038;1.0;0.2465753424657534;2.4657534246575343;0.0;2.4657534246575343;6.1579623287671215;0.0;2.633989726027397;769745.2910958902;0.0;329248.7157534246;2176.403536477968;0.0;930.9288119533494;0.0
